ID,Name,ElementRoots,ClassRole,Position,HP,ATK,DEF,MP,CombatStyle,InitialSkills,GrowthNotes
C001,金锋卫,金,单体爆发,前排,120,18,10,40,高频单体斩击;快速破甲,"SK001|SK010",前期速通强;同系功法升级收益高
C002,木灵使,木,持续作战,中排,150,12,12,55,回复续航;缠绕控制,"SK003|SK004",容错高;适合新手开荒
C003,水玄士,水,控场消耗,后排,125,14,11,75,减速冰冻;法术连发,"SK005|SK009",依赖MP循环;中后期更强
C004,炎雀使,火,群体输出,后排,105,20,8,70,范围爆发;灼烧叠层,"SK002|SK008",清怪效率高;生存偏弱
C005,土岳僧,土,防御反击,前排,180,10,18,35,护盾反伤;稳定站场,"SK006|SK007",适合高压关卡与持久战
C006,双灵剑修,金|火,混合爆发,前排,115,19,9,55,单体斩击结合范围灼烧,"SK001|SK002",双灵根功法池更广;单功法等级上限更低
C007,森海祭司,木|水,回复控制,中排,135,11,13,80,治疗减速;持续消耗,"SK003|SK005",运营稳定;战斗节奏偏慢
C008,玄晶守御,金|土,坦克前排,前排,190,9,20,30,高防御反击;破防牵制,"SK010|SK006",适合固定强度地图与Boss试错
C009,灼藤妖姬,木|火,DOT叠伤,中排,130,15,10,65,灼烧缠绕双持续伤害,"SK004|SK008",对高血量敌人表现更好
C010,五行散修,金|木|水|火|土,全能随机,中排,140,14,14,60,构筑自由;适配广泛,"SK001|SK003",功法池最大;上限与下限都更依赖随机性
